,target
0,1
1,0
2,0
3,1
4,0
5,1
6,1
7,1
8,0
9,1
10,1
11,1
12,0
13,1
14,0
15,1
16,1
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,1
25,0
26,0
27,0
28,0
29,1
30,1
31,1
32,0
33,1
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,0
42,0
43,0
44,1
45,1
46,1
47,1
48,1
49,0
50,0
51,1
52,0
53,0
54,1
55,0
56,0
57,1
58,1
59,0
60,1
61,0
62,1
63,1
64,0
65,0
66,0
67,1
68,0
69,1
70,1
71,0
72,0
73,0
74,0
75,1
76,0
77,1
78,1
79,1
80,1
81,1
82,1
83,0
84,1
85,1
86,0
87,0
88,1
89,0
90,1
91,1
92,1
93,1
94,0
95,0
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,1
104,0
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,0
115,1
116,1
117,1
118,1
119,0
120,1
121,0
122,1
123,0
124,0
125,1
126,0
127,1
128,1
129,0
130,0
131,1
132,0
133,1
134,0
135,1
136,0
137,1
138,1
139,0
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,0
148,0
149,1
150,1
151,1
152,0
153,0
154,0
155,0
156,1
157,1
158,1
159,0
160,1
161,0
162,0
163,0
164,0
165,1
166,0
167,1
168,0
169,1
170,0
171,0
172,0
173,0
174,1
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,1
187,1
188,0
189,0
190,1
191,1
192,0
193,1
194,0
195,1
196,0
197,1
198,1
199,0
200,0
201,0
202,1
203,1
204,1
205,0
206,0
207,1
208,1
209,0
210,1
211,0
212,1
213,1
214,0
215,1
216,1
217,1
218,0
219,0
220,1
221,1
222,0
223,1
224,1
225,1
226,0
227,1
228,0
229,0
230,1
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,0
239,0
240,1
241,0
242,0
243,0
244,1
245,0
246,1
247,0
248,1
249,0
250,1
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,0
271,1
272,0
273,1
274,1
275,0
276,0
277,0
278,0
279,0
280,1
281,1
282,0
283,1
284,1
285,1
286,0
287,0
288,0
289,1
290,1
291,0
292,1
293,0
294,0
295,0
296,1
297,0
298,1
299,0
300,0
301,0
302,0
303,0
304,1
305,1
306,0
307,0
308,0
309,1
310,0
311,1
312,0
313,1
314,0
315,0
316,0
317,1
318,1
319,0
320,1
321,0
322,0
323,1
324,0
325,0
326,1
327,0
328,1
329,0
330,0
331,1
332,0
333,1
334,0
335,1
336,1
337,1
338,1
339,1
340,0
341,1
342,0
343,0
344,0
345,0
346,0
347,1
348,1
349,0
350,1
351,0
352,1
353,0
354,1
355,0
356,1
357,1
358,0
359,1
360,0
361,1
362,1
363,1
364,0
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,1
373,1
374,1
375,1
376,0
377,1
378,0
379,1
380,1
381,1
382,1
383,0
384,0
385,1
386,0
387,0
388,0
389,0
390,1
391,0
392,1
393,0
394,1
395,1
396,0
397,1
398,0
399,1
400,0
401,0
402,1
403,1
404,1
405,0
406,0
407,0
408,1
409,0
410,0
411,0
412,0
413,1
414,0
415,1
416,0
417,1
418,0
419,1
420,1
421,0
422,0
423,1
424,1
425,0
426,1
427,0
428,1
429,0
430,0
431,1
432,0
433,1
434,1
435,0
436,0
437,1
438,1
439,0
440,1
441,0
442,1
443,1
444,0
445,1
446,1
447,0
448,0
449,0
450,0
451,0
452,1
453,0
454,0
455,1
456,1
457,1
458,1
459,1
460,0
461,1
462,0
463,0
464,0
465,1
466,0
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,1
475,0
476,0
477,1
478,0
479,1
480,0
481,1
482,0
483,0
484,0
485,0
486,0
487,0
488,1
489,1
490,0
491,1
492,1
493,1
494,0
495,0
496,1
497,1
498,0
499,1
500,1
501,0
502,1
503,1
504,1
505,1
506,1
507,1
508,0
509,0
510,0
511,0
512,1
513,1
514,1
515,1
516,1
517,0
518,1
519,1
520,0
521,1
522,1
523,1
524,1
525,1
526,0
527,1
528,0
529,0
530,0
531,0
532,1
533,0
534,1
535,1
536,0
537,1
538,1
539,0
540,1
541,1
542,1
543,0
544,1
545,0
546,1
547,1
548,0
549,0
550,1
551,0
552,0
553,0
554,0
555,1
556,0
557,0
558,0
559,0
560,0
561,1
562,0
563,0
564,0
565,1
566,1
567,1
568,1
569,0
570,1
571,1
572,1
573,0
574,1
575,1
576,1
577,0
578,0
579,1
580,0
581,0
582,1
583,0
584,0
585,0
586,0
587,1
588,0
589,0
590,1
591,0
592,0
593,0
594,1
595,0
596,1
597,1
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,1
606,0
607,0
608,0
609,0
610,0
611,1
612,0
613,1
614,0
615,1
616,0
617,1
618,1
619,1
620,0
621,1
622,0
623,1
624,0
625,1
626,0
627,0
628,0
629,0
630,1
631,0
632,1
633,1
634,0
635,1
636,1
637,1
638,0
639,1
640,1
641,1
642,0
643,0
644,1
645,1
646,1
647,0
648,1
649,1
650,0
651,0
652,0
653,0
654,1
655,0
656,0
657,0
658,0
659,1
660,0
661,1
662,0
663,0
664,1
665,1
666,0
667,1
668,0
669,1
670,0
671,1
672,1
673,1
674,0
675,1
676,0
677,1
678,1
679,0
680,1
681,0
682,0
683,0
684,1
685,1
686,0
687,1
688,1
689,1
690,1
691,1
692,0
693,1
694,1
695,1
696,0
697,1
698,0
699,0
700,1
701,1
702,0
703,1
704,1
705,1
706,0
707,0
708,1
709,0
710,1
711,0
712,0
713,0
714,0
715,1
716,0
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,0
725,1
726,0
727,1
728,1
729,0
730,1
731,1
732,0
733,1
734,0
735,1
736,1
737,1
738,0
739,0
740,1
741,0
742,1
743,0
744,1
745,1
746,0
747,0
748,0
749,1
750,1
751,1
752,0
753,1
754,0
755,0
756,0
757,0
758,1
759,0
760,1
761,0
762,1
763,0
764,1
765,1
766,0
767,1
768,0
769,1
770,0
771,0
772,1
773,0
774,1
775,1
776,0
777,0
778,1
779,1
780,1
781,1
782,1
783,0
784,1
785,1
786,1
787,1
788,1
789,0
790,0
791,0
792,0
793,1
794,1
795,0
796,0
797,1
798,0
799,1
800,1
801,0
802,0
803,1
804,0
805,1
806,0
807,0
808,1
809,1
810,0
811,0
812,0
813,0
814,1
815,1
816,1
817,1
818,1
819,0
820,1
821,1
822,0
823,1
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,1
832,1
833,1
834,0
835,1
836,1
837,0
838,0
839,1
840,1
841,0
842,0
843,1
844,0
845,1
846,1
847,1
848,0
849,0
850,1
851,0
852,0
853,0
854,1
855,1
856,1
857,1
858,0
859,0
860,1
861,1
862,1
863,1
864,0
865,1
866,0
867,1
868,0
869,1
870,1
871,0
872,1
873,0
874,0
875,1
876,0
877,0
878,1
879,0
880,0
881,1
882,0
883,0
884,1
885,0
886,0
887,1
888,0
889,0
890,0
891,1
892,0
893,1
894,0
895,0
896,1
897,1
898,1
899,1
900,0
901,0
902,0
903,1
904,0
905,1
906,0
907,1
908,1
909,0
910,1
911,1
912,1
913,1
914,1
915,1
916,0
917,1
918,0
919,1
920,1
921,0
922,0
923,0
924,1
925,1
926,0
927,0
928,1
929,1
930,1
931,1
932,1
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,1
943,0
944,1
945,1
946,0
947,0
948,1
949,0
950,0
951,1
952,1
953,1
954,0
955,0
956,1
957,0
958,1
959,1
960,1
961,1
962,0
963,1
964,0
965,1
966,0
967,0
968,1
969,1
970,0
971,0
972,1
973,1
974,0
975,0
976,0
977,1
978,0
979,1
980,0
981,1
982,0
983,1
984,0
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,0
993,0
994,1
995,0
996,1
997,0
998,1
999,0
